kyr_oblast,rus_oblast,oblast,oblast_code,kyr_items,rus_items,items,label,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ош облусу,Ошская область,Osh oblast,kg-os,Дан (иштетилгенден кийинки салмакта),Зерно (в весе после доработки) ,Grains (weight after reprocessing),grains,,180.1,190.7,172.9,112.1,155.5,208.1,238.6,254,268.3,274.7,287.8,280.9,285.3,287.6,280,266.6,269.5,268.7,297.3,270.6,257.1,287.2,316.2,298.1
Ош облусу,Ошская область,Osh oblast,kg-os, Буудай (иштетилгенден кийинки салмакта), Пшеница  (в весе после доработки) , Wheat (weight after reprocessing),wheat,,54.2,88.9,113.7,78.5,116.6,158.7,188,190.7,174.1,175.3,191.2,186.3,195.3,194.4,185.7,170.6,159.6,156.4,177.4,161.7,139,104.8,142.1,123.2
Ош облусу,Ошская область,Osh oblast,kg-os, Арпа (иштетилгенден кийинки салмакта), Ячмень  (в весе после доработки) , Barley (weight after reprocessing),barley,,28.6,23.4,17.6,10.6,7.4,6.5,5.2,5.7,4.8,4,4.4,5.2,5.3,5.6,5.1,5.5,6.9,5.8,8.7,9.2,9.7,15.8,15,15.6
Ош облусу,Ошская область,Osh oblast,kg-os, Дандык жүгөрү, Кукуруза на зерно, Corn,corn,,94.9,76.1,39.4,20.9,27.3,38.6,40.9,52.9,84,88.6,86.7,82.3,78.6,82,83.6,84.1,97.9,101.3,105.3,93.7,103.4,161.2,153.7,153.3
Ош облусу,Ошская область,Osh oblast,kg-os,Күрүч (иштетилгенден кийинки салмакта), Рис (в весе после доработки) , Rice (weight after reprocessing),rice,,1,1,1.3,1.8,4.1,3.7,3.8,3.9,4.7,6.5,5.2,6.4,5.9,5.3,5.4,6.2,4.8,4.9,5.6,5.7,4.7,5.1,5.1,5
Ош облусу,Ошская область,Osh oblast,kg-os, Дан буурчактар (иштетилгенден кийинки салмакта), зернобобовые (в весе после доработки)* , Leguminous (weight after reprocessing),legums,0.6,0.3,0.3,0.2,0,0.05,0.5,0.7,0.9,0.6,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.8
Ош облусу,Ошская область,Osh oblast,kg-os, Кант кызылчасы (фабрикалык),Сахарная свекла (фабричная),Sugar-beet (fabric),sugar_beet,,,0.3,1.8,1.4,0.2,,,,,,,,,,,,,,,,,,,
Ош облусу,Ошская область,Osh oblast,kg-os, Пахта сырьесу (зачеттук салмакта),Хлопок-сырец (в зачетном весе),Сotton  (at recorded weight),cotton,,23.3,16.7,14.9,20.3,28.2,25.2,24.5,24.9,28.5,29.1,32.6,40.4,35.3,40.5,36.8,38.1,29.7,31.5,19.9,31.6,38.1,33.8,23.7,26.8
Ош облусу,Ошская область,Osh oblast,kg-os, Тамеки (зачеттук салмакта),Табак (в зачетном весе),Tobacco (at recorded weight),tobacco,,24.9,24.6,27.3,22.8,11.9,11.8,15.9,16,15.7,19.3,15.9,5.5,7.5,10.6,11.4,11.4,12.1,11.3,9.8,7.8,7.7,5.1,4.3,2.7
Ош облусу,Ошская область,Osh oblast,kg-os, Май алынуучу өсүмдүктөр,Масличные культуры,Oil-producing crops,oil_crops,,0.08,0.7,1.1,2.2,5.4,11.2,11.3,13.6,19.8,17.7,20.1,26.8,23.8,25.5,27.7,26.1,27.5,24.8,27.6,21.7,19.9,18.4,17.5,14.6
